LPG,CO,Smoke
0.0133715,0.0107228,0.0370575
0.00824191,0.00549292,0.0221001
0.00706859,0.00444229,0.0187565
0.00891318,0.00612083,0.024028
0.00659552,0.00403665,0.0174187
0.00808715,0.00535086,0.0216571
0.00735995,0.00469739,0.0195835
0.0066579,0.00408952,0.0175948
0.0111976,0.0083906,0.0306597
0.00731412,0.004657,0.0194532
0.0066164,0.00405432,0.0174776
0.00941584,0.00660308,0.0254781
0.00817839,0.00543448,0.0219182
0.00951696,0.00670131,0.0257705
0.00557271,0.00319784,0.0145494
0.00914182,0.00633892,0.0246869
0.00770325,0.00500294,0.0205607
0.00910946,0.00630793,0.0245936
0.0116707,0.00888448,0.0320451
0.00673799,0.00415768,0.0178209
0.00810142,0.00536391,0.0216979
0.00862778,0.00585156,0.023207
0.00734655,0.00468557,0.0195454
0.0055047,0.00314402,0.0143598
0.00678042,0.00419391,0.0179408
0.0107776,0.00795868,0.0294328
0.00630096,0.00378958,0.016589
0.00589941,0.00345986,0.0154623
0.0088997,0.00610803,0.0239891
0.00621298,0.00371663,0.0163417
0.00828893,0.00553629,0.0222348
0.00656025,0.00400684,0.0173192
0.00798746,0.00525989,0.021372
0.0100259,0.00720166,0.0272451
0.00731795,0.00466037,0.0194641
0.00897605,0.00618059,0.024209
0.0091572,0.00635367,0.0247313
0.00778287,0.00507457,0.0207878
0.00606256,0.00359282,0.0159194
0.00669555,0.00412152,0.017701
0.00817524,0.00543159,0.0219091
0.0086309,0.0058545,0.023216
0.00889595,0.00610447,0.0239783
0.006437,0.00390316,0.0169719
0.00587796,0.00344249,0.0154022
0.0061454,0.00366087,0.0161519
0.00869746,0.00591699,0.0234073
0.00628809,0.00377889,0.0165528
0.0101071,0.00728243,0.027481
0.00763631,0.00494295,0.0203699
0.00851735,0.00574828,0.0228899
0.00593339,0.00348744,0.0155574
0.0061501,0.00366474,0.0161651
0.0100994,0.00727481,0.0274587
0.00637525,0.00385149,0.016798
0.00577657,0.00336067,0.0151186
0.00855999,0.00578811,0.0230123
0.00829635,0.00554313,0.022256
0.00778907,0.00508016,0.0208055
0.00970218,0.00688226,0.0263066
0.00750625,0.00482695,0.0199995
0.00561207,0.0032291,0.0146592
0.00676743,0.00418281,0.0179041
0.00862833,0.00585208,0.0232086
0.00656966,0.00401479,0.0173458
0.00683525,0.00424087,0.0180958
0.00758957,0.00490118,0.0202368
0.00622987,0.00373061,0.0163892
0.00694531,0.00433556,0.0184073
